date,avg_temp_c,avg_quality,avg_homogenization,max_temp_c,max_quality,max_homogenization,min_temp_c,min_quality,min_homogenization,source_file
2026-01-01,6.5,8,1,10.3,8,1,3.8,8,1,jma_tokyo_20260101-0530.csv
2026-01-02,4.8,8,1,10.0,8,1,0.5,8,1,jma_tokyo_20260101-0530.csv
2026-01-03,3.7,8,1,8.9,8,1,-0.5,8,1,jma_tokyo_20260101-0530.csv
2026-01-04,6.0,8,1,11.2,8,1,1.2,8,1,jma_tokyo_20260101-0530.csv
2026-01-05,6.7,8,1,12.8,8,1,1.1,8,1,jma_tokyo_20260101-0530.csv
2026-01-06,6.3,8,1,11.0,8,1,3.1,8,1,jma_tokyo_20260101-0530.csv
2026-01-07,3.8,8,1,6.4,8,1,1.2,8,1,jma_tokyo_20260101-0530.csv
2026-01-08,4.7,8,1,11.3,8,1,-0.3,8,1,jma_tokyo_20260101-0530.csv
2026-01-09,6.0,8,1,10.3,8,1,1.7,8,1,jma_tokyo_20260101-0530.csv
2026-01-10,9.3,8,1,14.9,8,1,1.5,8,1,jma_tokyo_20260101-0530.csv
2026-01-11,11.0,8,1,16.1,8,1,4.0,8,1,jma_tokyo_20260101-0530.csv
2026-01-12,4.7,8,1,9.5,8,1,0.0,8,1,jma_tokyo_20260101-0530.csv
2026-01-13,8.3,8,1,16.1,8,1,0.2,8,1,jma_tokyo_20260101-0530.csv
2026-01-14,7.2,8,1,12.0,8,1,3.3,8,1,jma_tokyo_20260101-0530.csv
2026-01-15,8.0,8,1,12.5,8,1,1.7,8,1,jma_tokyo_20260101-0530.csv
2026-01-16,11.3,8,1,17.8,8,1,5.0,8,1,jma_tokyo_20260101-0530.csv
2026-01-17,9.7,8,1,15.3,8,1,5.0,8,1,jma_tokyo_20260101-0530.csv
2026-01-18,9.2,8,1,13.4,8,1,6.1,8,1,jma_tokyo_20260101-0530.csv
2026-01-19,8.7,8,1,13.9,8,1,5.2,8,1,jma_tokyo_20260101-0530.csv
2026-01-20,5.9,8,1,9.1,8,1,2.3,8,1,jma_tokyo_20260101-0530.csv
2026-01-21,3.6,8,1,7.0,8,1,1.8,8,1,jma_tokyo_20260101-0530.csv
2026-01-22,2.5,8,1,6.9,8,1,-0.2,8,1,jma_tokyo_20260101-0530.csv
2026-01-23,3.4,8,1,9.4,8,1,-2.0,8,1,jma_tokyo_20260101-0530.csv
2026-01-24,4.7,8,1,11.0,8,1,-1.3,8,1,jma_tokyo_20260101-0530.csv
2026-01-25,3.7,8,1,7.6,8,1,1.2,8,1,jma_tokyo_20260101-0530.csv
2026-01-26,4.2,8,1,8.6,8,1,-0.9,8,1,jma_tokyo_20260101-0530.csv
2026-01-27,5.4,8,1,10.1,8,1,2.3,8,1,jma_tokyo_20260101-0530.csv
2026-01-28,5.5,8,1,8.1,8,1,2.0,8,1,jma_tokyo_20260101-0530.csv
2026-01-29,4.8,8,1,10.4,8,1,1.1,8,1,jma_tokyo_20260101-0530.csv
2026-01-30,3.9,8,1,9.3,8,1,-0.5,8,1,jma_tokyo_20260101-0530.csv
2026-01-31,4.7,8,1,9.8,8,1,0.9,8,1,jma_tokyo_20260101-0530.csv
2026-02-01,5.5,8,1,11.1,8,1,-0.2,8,1,jma_tokyo_20260101-0530.csv
2026-02-02,6.4,8,1,12.0,8,1,2.7,8,1,jma_tokyo_20260101-0530.csv
2026-02-03,5.8,8,1,10.8,8,1,1.6,8,1,jma_tokyo_20260101-0530.csv
2026-02-04,6.3,8,1,11.4,8,1,1.6,8,1,jma_tokyo_20260101-0530.csv
2026-02-05,7.8,8,1,13.8,8,1,2.7,8,1,jma_tokyo_20260101-0530.csv
2026-02-06,9.0,8,1,16.1,8,1,2.6,8,1,jma_tokyo_20260101-0530.csv
2026-02-07,3.8,8,1,6.9,8,1,1.3,8,1,jma_tokyo_20260101-0530.csv
2026-02-08,-0.7,8,1,2.0,8,1,-2.5,8,1,jma_tokyo_20260101-0530.csv
2026-02-09,2.8,8,1,9.2,8,1,-3.2,8,1,jma_tokyo_20260101-0530.csv
2026-02-10,5.5,8,1,10.9,8,1,0.4,8,1,jma_tokyo_20260101-0530.csv
2026-02-11,6.1,8,1,10.5,8,1,2.7,8,1,jma_tokyo_20260101-0530.csv
2026-02-12,6.7,8,1,11.6,8,1,2.9,8,1,jma_tokyo_20260101-0530.csv
2026-02-13,7.1,8,1,12.6,8,1,1.8,8,1,jma_tokyo_20260101-0530.csv
2026-02-14,9.1,8,1,15.1,8,1,2.9,8,1,jma_tokyo_20260101-0530.csv
2026-02-15,11.9,8,1,18.4,8,1,6.1,8,1,jma_tokyo_20260101-0530.csv
2026-02-16,10.6,8,1,16.7,8,1,4.3,8,1,jma_tokyo_20260101-0530.csv
2026-02-17,5.8,8,1,9.0,8,1,3.1,8,1,jma_tokyo_20260101-0530.csv
