date,avg_temp_c,avg_quality,avg_homogenization,max_temp_c,max_quality,max_homogenization,min_temp_c,min_quality,min_homogenization,source_file
2026-07-01,24.7,8,1,28.1,8,1,22.2,8,1,jma_tokyo_20260701-0731.csv
2026-07-02,21.2,8,1,22.7,8,1,20.0,8,1,jma_tokyo_20260701-0731.csv
2026-07-03,22.5,8,1,26.4,8,1,19.9,8,1,jma_tokyo_20260701-0731.csv
2026-07-04,23.7,8,1,27.6,8,1,20.7,8,1,jma_tokyo_20260701-0731.csv
2026-07-05,24.0,8,1,26.9,8,1,22.0,8,1,jma_tokyo_20260701-0731.csv
2026-07-06,23.0,8,1,27.1,8,1,19.2,8,1,jma_tokyo_20260701-0731.csv
2026-07-07,22.7,8,1,24.7,8,1,20.7,8,1,jma_tokyo_20260701-0731.csv
2026-07-08,25.2,8,1,30.4,8,1,20.5,8,1,jma_tokyo_20260701-0731.csv
2026-07-09,26.3,8,1,31.7,8,1,21.6,8,1,jma_tokyo_20260701-0731.csv
2026-07-10,26.8,8,1,31.6,8,1,23.3,8,1,jma_tokyo_20260701-0731.csv
2026-07-11,26.8,8,1,31.0,8,1,23.6,8,1,jma_tokyo_20260701-0731.csv
2026-07-12,26.7,8,1,29.9,8,1,24.4,8,1,jma_tokyo_20260701-0731.csv
2026-07-13,26.4,8,1,29.6,8,1,24.4,8,1,jma_tokyo_20260701-0731.csv
2026-07-14,29.2,8,1,34.7,8,1,24.2,8,1,jma_tokyo_20260701-0731.csv
2026-07-15,29.3,8,1,34.3,8,1,25.9,8,1,jma_tokyo_20260701-0731.csv
2026-07-16,29.9,8,1,34.2,8,1,26.4,8,1,jma_tokyo_20260701-0731.csv
2026-07-17,28.0,8,1,30.8,8,1,26.4,8,1,jma_tokyo_20260701-0731.csv
2026-07-18,27.3,8,1,30.7,8,1,25.4,8,1,jma_tokyo_20260701-0731.csv
2026-07-19,29.0,8,1,34.0,8,1,25.7,8,1,jma_tokyo_20260701-0731.csv
2026-07-20,30.4,8,1,36.1,8,1,25.7,8,1,jma_tokyo_20260701-0731.csv
2026-07-21,31.1,8,1,36.4,8,1,26.9,8,1,jma_tokyo_20260701-0731.csv
2026-07-22,31.9,8,1,36.1,8,1,27.6,8,1,jma_tokyo_20260701-0731.csv
2026-07-23,31.8,8,1,36.9,8,1,28.2,8,1,jma_tokyo_20260701-0731.csv
2026-07-24,28.8,8,1,35.4,8,1,24.2,8,1,jma_tokyo_20260701-0731.csv
2026-07-25,28.9,8,1,37.1,8,1,24.0,8,1,jma_tokyo_20260701-0731.csv
2026-07-26,26.5,8,1,32.8,8,1,23.5,8,1,jma_tokyo_20260701-0731.csv
2026-07-27,26.0,8,1,30.7,8,1,23.1,8,1,jma_tokyo_20260701-0731.csv
2026-07-28,25.1,8,1,29.5,8,1,21.0,8,1,jma_tokyo_20260701-0731.csv
2026-07-29,29.5,8,1,35.8,8,1,22.9,8,1,jma_tokyo_20260701-0731.csv
2026-07-30,29.5,8,1,36.2,8,1,24.8,8,1,jma_tokyo_20260701-0731.csv
2026-07-31,29.6,8,1,35.2,8,1,25.0,8,1,jma_tokyo_20260701-0731.csv
