date,avg_temp_c,avg_quality,avg_homogenization,max_temp_c,max_quality,max_homogenization,min_temp_c,min_quality,min_homogenization,source_file
2026-08-01,29.9,8,1,36.5,8,1,25.9,8,1,jma_tokyo_20260801-0831.csv
2026-08-02,28.8,8,1,35.3,8,1,24.8,8,1,jma_tokyo_20260801-0831.csv
2026-08-03,24.6,8,1,26.7,8,1,22.7,8,1,jma_tokyo_20260801-0831.csv
2026-08-04,25.6,8,1,30.4,8,1,22.0,8,1,jma_tokyo_20260801-0831.csv
2026-08-05,26.7,8,1,30.9,8,1,22.7,8,1,jma_tokyo_20260801-0831.csv
2026-08-06,26.8,8,1,31.7,8,1,22.5,8,1,jma_tokyo_20260801-0831.csv
2026-08-07,29.0,8,1,33.4,8,1,25.8,8,1,jma_tokyo_20260801-0831.csv
2026-08-08,29.2,8,1,34.0,8,1,26.2,8,1,jma_tokyo_20260801-0831.csv
2026-08-09,28.1,8,1,33.5,8,1,23.2,8,1,jma_tokyo_20260801-0831.csv
2026-08-10,26.6,8,1,31.6,8,1,22.2,8,1,jma_tokyo_20260801-0831.csv
2026-08-11,24.7,8,1,30.2,8,1,21.5,8,1,jma_tokyo_20260801-0831.csv
2026-08-12,24.9,8,1,30.3,8,1,21.9,8,1,jma_tokyo_20260801-0831.csv
2026-08-13,24.5,8,1,29.5,8,1,22.8,8,1,jma_tokyo_20260801-0831.csv
2026-08-14,25.6,8,1,31.9,8,1,22.4,8,1,jma_tokyo_20260801-0831.csv
2026-08-15,25.2,8,1,29.7,8,1,22.9,8,1,jma_tokyo_20260801-0831.csv
2026-08-16,23.8,8,1,27.3,8,1,21.9,8,1,jma_tokyo_20260801-0831.csv
2026-08-17,25.5,8,1,30.5,8,1,21.8,8,1,jma_tokyo_20260801-0831.csv
2026-08-18,27.2,8,1,32.5,8,1,23.3,8,1,jma_tokyo_20260801-0831.csv
2026-08-19,27.5,8,1,32.6,8,1,23.6,8,1,jma_tokyo_20260801-0831.csv
2026-08-20,28.1,8,1,33.3,8,1,24.3,8,1,jma_tokyo_20260801-0831.csv
2026-08-21,28.0,8,1,32.8,8,1,25.2,8,1,jma_tokyo_20260801-0831.csv
2026-08-22,26.6,8,1,31.5,8,1,23.8,8,1,jma_tokyo_20260801-0831.csv
2026-08-23,26.5,8,1,30.8,8,1,23.6,8,1,jma_tokyo_20260801-0831.csv
2026-08-24,28.8,8,1,33.5,8,1,24.9,8,1,jma_tokyo_20260801-0831.csv
2026-08-25,29.8,8,1,35.0,8,1,25.7,8,1,jma_tokyo_20260801-0831.csv
2026-08-26,30.3,8,1,34.3,8,1,26.8,8,1,jma_tokyo_20260801-0831.csv
2026-08-27,26.0,8,1,30.4,8,1,21.9,8,1,jma_tokyo_20260801-0831.csv
2026-08-28,28.1,8,1,33.7,8,1,23.7,8,1,jma_tokyo_20260801-0831.csv
2026-08-29,22.4,8,1,26.9,8,1,19.6,8,1,jma_tokyo_20260801-0831.csv
2026-08-30,23.2,8,1,27.5,8,1,19.7,8,1,jma_tokyo_20260801-0831.csv
2026-08-31,24.8,8,1,28.6,8,1,22.7,8,1,jma_tokyo_20260801-0831.csv
